Species	Common	Category
× Triticosecale	Triticale	Domesticated Plant Khouri et al. 2016
Abelmoschus esculentus	Okra	Domesticated Plant Khouri et al. 2016
Actinidea	Kiwi	Domesticated Plant Khouri et al. 2016
Allium cepa	Onions	Domesticated Plant Khouri et al. 2016
Allium porrum	Leeks	Domesticated Plant Khouri et al. 2016
Allium sativum	Garlic	Domesticated Plant Khouri et al. 2016
Anacardium occidentale	Cashew	Domesticated Plant Khouri et al. 2016
Ananas comosus	Pineapples	Domesticated Plant Khouri et al. 2016
Arachis hypogaea	Groundnut	Domesticated Plant Khouri et al. 2016
Areca catechu	Areca nuts	Domesticated Plant Khouri et al. 2016
Asparagus officinalis	Asparagus	Domesticated Plant Khouri et al. 2016
Avena sativa	Oats	Domesticated Plant Khouri et al. 2016
Bertholletia excelsa	Brazil nuts	Domesticated Plant Khouri et al. 2016
Beta vulgaris	Sugar beet	Domesticated Plant Khouri et al. 2016
Brassica juncea	Mustard spice	Domesticated Plant Khouri et al. 2016
Brassica napus	Rapeseed	Domesticated Plant Khouri et al. 2016
Brassica oleracea	Cabbages	Domesticated Plant Khouri et al. 2016
Brassica rapa	Turnips	Domesticated Plant Khouri et al. 2016
Cajanus cajan	Pigeonpeas	Domesticated Plant Khouri et al. 2016
Camellia sinensis	Tea	Domesticated Plant Khouri et al. 2016
Cannabis sativa	Hempseed	Domesticated Plant Khouri et al. 2016
Capsicum	Chillies and Peppers	Domesticated Plant Khouri et al. 2016
Capsicum annuum	Bell Pepper	Domesticated Plant Khouri et al. 2016
Capsicum chinense	Habenero	Domesticated Plant Khouri et al. 2016
Carica papaya	Papayas	Domesticated Plant Khouri et al. 2016
Carthamus tinctorius	Safflower seed	Domesticated Plant Khouri et al. 2016
Castanea sativa	Chestnut	Domesticated Plant Khouri et al. 2016
Cenchrus americanus	Pearl millet	Domesticated Plant Khouri et al. 2016
Ceratonia siliqua	Carob	Domesticated Plant Khouri et al. 2016
Chenopodium quinoa	Quinoa	Domesticated Plant Khouri et al. 2016
Cicer arietinum	Chickpeas	Domesticated Plant Khouri et al. 2016
